"rowid","a","far_id","camp","pre-evacuation_address","pre-evacuation_state","final_departure_destination","final_departure_state","date_of_final_departure","departure_latitude","departure_longitude","preevacuation_latitude","preevacuation_longitude"
78780,99046,"jerome1-1255","6-jerome","Redondo Beach","CA","Milwaukee","WI","1943-06-15 00:00:00",43.011264,-87.958409,33.830006,-118.387124
78781,99069,"jerome1-1278","6-jerome","Los Angeles","CA","Chicago","IL","1944-03-06 00:00:00",41.88531,-87.62213,33.973951,-118.248405
78784,99090,"jerome1-1299","6-jerome","Los Angeles","CA","Chicago","IL","1943-04-27 00:00:00",41.88531,-87.62213,33.973951,-118.248405
78785,99092,"jerome1-1301","6-jerome","Los Angeles","CA","Chicago","IL","1944-03-07 00:00:00",41.88531,-87.62213,33.973951,-118.248405
78786,99108,"jerome1-1317","6-jerome","Fowler","CA","St. Louis","MO","1943-05-05 00:00:00",38.631501,-90.19231,36.623402,-119.691869
78787,99109,"jerome1-1318","6-jerome","Fowler","CA","St. Louis","MO","1943-06-10 00:00:00",38.631501,-90.19231,36.623402,-119.691869
78788,99133,"jerome1-1342","6-jerome","Fresno","CA","St. Louis","MO","1943-05-07 00:00:00",38.631501,-90.19231,36.8411,-119.801015
78789,99134,"jerome1-1343","6-jerome","Fresno","CA","St. Louis","MO","1943-05-07 00:00:00",38.631501,-90.19231,36.8411,-119.801015
78790,99142,"jerome1-1351","6-jerome","Ivanhoe","CA","St. George","UT","1943-06-30 00:00:00",37.185679,-113.609837,36.38858,-119.22011
78791,99155,"jerome1-1364","6-jerome","Cheyenne","WY","Denver","CO","1944-04-07 00:00:00",39.760189,-104.996553,41.092356,-104.936269
78792,99157,"jerome1-1366","6-jerome","Earlimart","CA","Monroe","MI","1943-04-15 00:00:00",41.907196,-83.472457,35.875918,-119.262323
78793,99162,"jerome1-1371","6-jerome","Earlimart","CA","Denver","CO","1943-05-31 00:00:00",39.760189,-104.996553,35.875918,-119.262323
78794,99163,"jerome1-1372","6-jerome","Earlimart","CA","Denver","CO","1943-05-31 00:00:00",39.760189,-104.996553,35.875918,-119.262323
78795,99181,"jerome1-1390","6-jerome","Elk Grove","CA","Cleveland","OH","1943-06-28 00:00:00",41.489381,-81.667486,38.44148,-121.307142
78796,99186,"jerome1-1395","6-jerome","Long Beach","CA","Philadelphia","PA","1943-12-10 00:00:00",40.001811,-75.11787,33.804309,-118.200957
78797,99191,"jerome1-1400","6-jerome","Fresno","CA","Columbus","OH","1943-11-22 00:00:00",40.100924,-83.013402,36.8411,-119.801015
78799,99244,"jerome1-1453","6-jerome","Madera","CA","Minneapolis","MN","1943-10-05 00:00:00",44.984577,-93.269097,36.928286,-120.182423
78800,99262,"jerome1-1471","6-jerome","Sacramento","CA","Chicago","IL","1944-05-18 00:00:00",41.88531,-87.62213,38.380456,-121.555406
78801,99265,"jerome1-1474","6-jerome","Delano","CA","Chicago","IL","1944-10-20 00:00:00",41.88531,-87.62213,35.779507,-119.200825
78805,99270,"jerome1-1479","6-jerome","Bellflower","CA","Lafeyette","CO","1943-06-07 00:00:00",40.026334,-105.104899,33.888014,-118.12965
78806,99293,"jerome1-1502","6-jerome","Harbor City","CA","Chicago","IL","1944-01-20 00:00:00",41.88531,-87.62213,33.79002,-118.29785
78807,99294,"jerome1-1503","6-jerome","Harbor City","CA","St. Louis","MO","1943-10-22 00:00:00",38.631501,-90.19231,33.79002,-118.29785
78808,99298,"jerome1-1507","6-jerome","Long Beach","CA","Colorado Springs","CO","1944-01-19 00:00:00",38.828893,-104.809929,33.804309,-118.200957
78809,99302,"jerome1-1511","6-jerome","Delano","CA","Chicago","IL","1943-05-13 00:00:00",41.88531,-87.62213,35.779507,-119.200825
78810,99318,"jerome1-1527","6-jerome","Fresno","CA","Winnetka","IL","1943-05-12 00:00:00",42.10808,-87.7359,36.8411,-119.801015
78811,99319,"jerome1-1528","6-jerome","Fresno","CA","Madison","WI","1943-10-04 00:00:00",43.06956,-89.423861,36.8411,-119.801015
78813,99332,"jerome1-1541","6-jerome","Harbor City","CA","Ft. Sheridan","IL","1943-03-17 00:00:00",42.255073,-87.818268,33.79002,-118.29785
78814,99334,"jerome1-1543","6-jerome","Harbor City","CA","Kirkwood","MO","1943-12-12 00:00:00",38.583386,-90.406785,33.79002,-118.29785
78815,99340,"jerome1-1549","6-jerome","San Pedro","CA","Denver","CO","1943-09-02 00:00:00",39.760189,-104.996553,33.753088,-118.253053
